n_proyecto,proy,cui,escuela,direccion,intervenciones,estado,subestado,fuente,programa,ano_plan,avance_de_obra_real,dgar,inicio_obra,plazo_obra,ampliacion_plazo,fin_obra,ppto_estimado
x197,x229,200745,dr luis pasteur,nahuel huapi 5740,"adecuacion  inst  gas-calefaccion, patio , muros ,cubierta, acesibilidad basica, pintura  + salida independiente para inicial",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x198,x398,200747,NA,mercedes 4966,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x199,x399,200747,NA,mercedes 4966,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x200,x349,200769,epc n° 02 prof. juan jose millan,helguera 3228,"adecuacion de sanitarios, pintura, cubierta, electrica",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x201,x400,200770,NA,argerich 2849,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x202,x401,200773,NA,cnel. pedro calderon de la barca 3053,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x203,x402,200784,NA,av. salvador maria del carril 4957,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x204,x263,200807,monte castro,avda. alvarez jonte 4651,"plan mejora cubiertacon impermeabilizacion, pintura y reparacion de revoques y cielorrasos, acondicionamiento de instalacion electrica y calefaccion",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x205,x403,200810,NA,yerbal 4965,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x206,x346,200827,colegio n° 13 cnel. tomas espora,gallardo 149,"instalacion electrica, accesibilidad, pintura , patios",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x207,x404,200828,NA,san blas 5387,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x208,x356,200832,esea 02 j donn,magariño cervantes  5068,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x209,x219,200864,guillermo jose barros,mariano acosta 2976,"mejora edilicia, reparacion de cubiertas, adecuacion de instalaciones sanitarias, electricas y pluvial. reparacion de muros y pintura integral",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x210,x216,200873,"esc. para niños, niñas y jovenes con discapacidad mental y de formación integral nº 7 juan xxiii de 19",mariano acosta 2936,plan mejora de  patio+ inst gas-calefaccion + cubierta  y reparacion de revoques y pintura en areas significativas,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x211,x405,200909,NA,garcia de cossio 5570,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x212,x359,200920,jic n° 02/20°,montiel 1174 - reemplazo en terreno nuevo,obra nueva reemplazo inicial montiel 1174,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x213,x354,200952,jic n° 04/21°,jose ignacio rucci 3961,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x214,x305,200964,esc.sup.de educ. artistica en artes visuales lola mora,soldado de la frontera 5155,"sanitarios, cubierta, pintura general",planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x215,x406,200965,NA,piedras 1430,NA,planificado,planificado,NA,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x216,x372,NA,NA,timoteo gordillo - cañada de gómez 4548,agrupacion de jines,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x217,x375,NA,NA,varela y cruz - profesionalizante,NA,planificado,planificado,f11,mejora edilicia,2025,NA,NA,NA,NA,NA,NA,NA
x218,x370,200078,esc. primaria común n° 04 amadeo jacques /jardín de infantes nucleado a (epcjs 04/02°),soler 3929,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x219,x060,200136,gervasio posadas,avda. san juan 2277,proyecto de accesibilidad y pintura general. agregar impermeabilización. expediente: construccion de galeria en patio para paso (jardin),planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x220,x230,200140,esc. de com. nº 34 monseñor miguel de andrea de 03,moreno 2135,patios + muros+carpinterias+   inst electrica y pintura en areas significativas y evaluar posible crecimiento aulico. catalogacion?,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x221,x353,200143,esc. para jóvenes y adultos con discapacidad visual y formación integral n° 37 francisco gatti,independencia 672,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x222,x087,200178,benito quinquela martin,avda. don pedro de mendoza 1835,"acondicionamiento  de cubierta, instalacion sanitario, electrica e incendio. arreglo de revoques menores en aulas.  adecuacion pintura interior de areas significantes  y patio.",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x223,x334,200317,sup inicial i b,avda. boedo 650,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x224,x352,200330,esc. integral interdisciplinaria n° 06,inclan 3146,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x225,x314,200358,delfin jijena,olaya 1565,"reparacion de revoques, pintura general, instalacion electrica, cubiertas y pluviales, carpinterias",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x226,x319,200417,epc n° 23 canada,cachimayo 1735,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x227,x350,200423,esc. integral interdisciplinaria n° 08 luis vernet,hortiguera 742,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x228,x232,200479,escuela integral interdisciplinaria nº 09 de 09,la pampa 1240,"plan mejora en   adecuacion fachada,  inst electrica , patios, fisuras , muros ,carpinteria , cubierta, sanitarios, cocina , reparacion de revoques y   pintura en areas significativas  // chequear catalogacion",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x229,x355,200531,cbfo n° 03 olga cossettini,juramento 2945,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x230,x374,200554,esc. primaria común n° 06 dr. carlos vaz ferreira,varela 1040,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x231,x367,200569,esc. primaria común n° 23 gral. de división manuel n. savio,san pedrito 1137,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x232,x347,200611,esc. integral interdisciplinaria n° 12,gavilan 1464,"instalacion electrica, accesibilidad, pintura",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x233,x320,200636,epc n°19 caja nac. de ahorro y seguro,albariño 2062,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x234,x323,200683,esc. de com. n° 24 dr. dalmacio velez sarsfield,avda. del campo 1340,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x235,x351,200748,epc n° 09 irlanda,ibera 5734,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x236,x345,200754,jin b (epcjc 16/16°) juana azurduy,gabriela mistral 3376,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x237,x318,200758,epc n° 22 republica de nicaragua,bazurco 2551,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x238,x324,200762,esc. de educ. media nº 01 rodolfo walsh de 16,argerich 5651,"reparacion de cubiertas, filtraciones, revoques, carpinterias, mejora en cielorrasos y pintura general",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x239,x343,200792,esc. tec. n° 16 españa,concordia 3555,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x240,x340,200814,epc n° 13 cnel. jose antonio melian,camarones 4351,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x241,x335,200844,sup inicial vi a a sup primaria de19,alagon 300,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x242,x317,200857,epc n° 14 capit.maria remedios del valle,avda. intendente francisco rabanal 2751,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x243,x326,200872,"esc. para niños, niñas con discapacidad mental nº 05 dr.angel s.ardaiz de 19",ferre 1957,"accesibilidad, sanitarios, pintura",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x244,x344,200910,epc n° 13 republica de filipinas,cosquin 1943,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x245,x316,200955,epc n° 13 dr. alfredo lanari,avda. piedra buena 4863,"adecuacion de cubierta, sanitarios, termomecanica, patios y pintura",planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x246,x369,200966,centro de formación profesional n° 04 (anexo),soldado de la frontera 5140,NA,planificado,planificado,f11,mejora edilicia,2026,NA,NA,NA,NA,NA,NA,NA
x247,x364,200175,epc n° 03 juan maria gutierrez,rocha 1226,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x248,x373,200357,esc. primaria común n° 05 juan b. peña,trelles 948,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x249,x357,200375,epc n° 25 republica de guatemala,mendez de andes 1451,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x250,x376,200419,escuela infantil n° 04/08° agustín tatín ravello,victor martinez 1780,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x251,x366,200612,centro de formación profesional n° 17 (anexo),san nicolas 588,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x252,x377,200623,esc. primaria común n° 05 roberto billinghurst,zinny 1641,"adecuacion de cubierta, instalacion electrica, pintura general",planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x253,x341,200710,epc n° 11 fray luis beltran,capdevila 3156,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x254,x371,200846,esc. primaria común n° 03 prof. carlos justo florit,tilcara 2856,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x255,x361,200850,epc n° 07 aeronautica argentina,quilmes 473,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
x256,x360,200919,jii n° 01/20°,montiel 3826,NA,planificado,planificado,f11,mejora edilicia,2027,NA,NA,NA,NA,NA,NA,NA
